set	gene_id
IFNresponse_reactome_genes	ENSG00000094914
IFNresponse_reactome_genes	ENSG00000164163
IFNresponse_reactome_genes	ENSG00000160710
IFNresponse_reactome_genes	ENSG00000166233
IFNresponse_reactome_genes	ENSG00000166710
IFNresponse_reactome_genes	ENSG00000130303
IFNresponse_reactome_genes	ENSG00000070808
IFNresponse_reactome_genes	ENSG00000058404
IFNresponse_reactome_genes	ENSG00000145349
IFNresponse_reactome_genes	ENSG00000148660
IFNresponse_reactome_genes	ENSG00000026508
IFNresponse_reactome_genes	ENSG00000179583
IFNresponse_reactome_genes	ENSG00000107201
IFNresponse_reactome_genes	ENSG00000120738
IFNresponse_reactome_genes	ENSG00000055332
IFNresponse_reactome_genes	ENSG00000161960
IFNresponse_reactome_genes	ENSG00000156976
IFNresponse_reactome_genes	ENSG00000141543
IFNresponse_reactome_genes	ENSG00000151247
IFNresponse_reactome_genes	ENSG00000135930
IFNresponse_reactome_genes	ENSG00000163412
IFNresponse_reactome_genes	ENSG00000114867
IFNresponse_reactome_genes	ENSG00000110321
IFNresponse_reactome_genes	ENSG00000075151
IFNresponse_reactome_genes	ENSG00000150337
IFNresponse_reactome_genes	ENSG00000198019
IFNresponse_reactome_genes	ENSG00000196924
IFNresponse_reactome_genes	ENSG00000136068
IFNresponse_reactome_genes	ENSG00000117228
IFNresponse_reactome_genes	ENSG00000162645
IFNresponse_reactome_genes	ENSG00000117226
IFNresponse_reactome_genes	ENSG00000162654
IFNresponse_reactome_genes	ENSG00000154451
IFNresponse_reactome_genes	ENSG00000183347
IFNresponse_reactome_genes	ENSG00000213512
IFNresponse_reactome_genes	ENSG00000138646
IFNresponse_reactome_genes	ENSG00000090339
IFNresponse_reactome_genes	ENSG00000165949
IFNresponse_reactome_genes	ENSG00000216490
IFNresponse_reactome_genes	ENSG00000068079
IFNresponse_reactome_genes	ENSG00000126709
IFNresponse_reactome_genes	ENSG00000185745
IFNresponse_reactome_genes	ENSG00000119922
IFNresponse_reactome_genes	ENSG00000119917
IFNresponse_reactome_genes	ENSG00000152778
IFNresponse_reactome_genes	ENSG00000185885
IFNresponse_reactome_genes	ENSG00000185201
IFNresponse_reactome_genes	ENSG00000142089
IFNresponse_reactome_genes	ENSG00000197919
IFNresponse_reactome_genes	ENSG00000186803
IFNresponse_reactome_genes	ENSG00000233816
IFNresponse_reactome_genes	ENSG00000228083
IFNresponse_reactome_genes	ENSG00000147885
IFNresponse_reactome_genes	ENSG00000234829
IFNresponse_reactome_genes	ENSG00000188379
IFNresponse_reactome_genes	ENSG00000137080
IFNresponse_reactome_genes	ENSG00000236637
IFNresponse_reactome_genes	ENSG00000147873
IFNresponse_reactome_genes	ENSG00000120235
IFNresponse_reactome_genes	ENSG00000214042
IFNresponse_reactome_genes	ENSG00000120242
IFNresponse_reactome_genes	ENSG00000142166
IFNresponse_reactome_genes	ENSG00000159110
IFNresponse_reactome_genes	ENSG00000171855
IFNresponse_reactome_genes	ENSG00000111537
IFNresponse_reactome_genes	ENSG00000027697
IFNresponse_reactome_genes	ENSG00000159128
IFNresponse_reactome_genes	ENSG00000068745
IFNresponse_reactome_genes	ENSG00000125347
IFNresponse_reactome_genes	ENSG00000168310
IFNresponse_reactome_genes	ENSG00000126456
IFNresponse_reactome_genes	ENSG00000137265
IFNresponse_reactome_genes	ENSG00000128604
IFNresponse_reactome_genes	ENSG00000117595
IFNresponse_reactome_genes	ENSG00000185507
IFNresponse_reactome_genes	ENSG00000140968
IFNresponse_reactome_genes	ENSG00000213928
IFNresponse_reactome_genes	ENSG00000187608
IFNresponse_reactome_genes	ENSG00000172183
IFNresponse_reactome_genes	ENSG00000162434
IFNresponse_reactome_genes	ENSG00000096968
IFNresponse_reactome_genes	ENSG00000114030
IFNresponse_reactome_genes	ENSG00000182481
IFNresponse_reactome_genes	ENSG00000102753
IFNresponse_reactome_genes	ENSG00000186432
IFNresponse_reactome_genes	ENSG00000196911
IFNresponse_reactome_genes	ENSG00000185467
IFNresponse_reactome_genes	ENSG00000108424
IFNresponse_reactome_genes	ENSG00000102882
IFNresponse_reactome_genes	ENSG00000101871
IFNresponse_reactome_genes	ENSG00000125148
IFNresponse_reactome_genes	ENSG00000157601
IFNresponse_reactome_genes	ENSG00000183486
IFNresponse_reactome_genes	ENSG00000149294
IFNresponse_reactome_genes	ENSG00000058804
IFNresponse_reactome_genes	ENSG00000069869
IFNresponse_reactome_genes	ENSG00000111581
IFNresponse_reactome_genes	ENSG00000069248
IFNresponse_reactome_genes	ENSG00000124789
IFNresponse_reactome_genes	ENSG00000113569
IFNresponse_reactome_genes	ENSG00000030066
IFNresponse_reactome_genes	ENSG00000095319
IFNresponse_reactome_genes	ENSG00000155561
IFNresponse_reactome_genes	ENSG00000132182
IFNresponse_reactome_genes	ENSG00000126883
IFNresponse_reactome_genes	ENSG00000163002
IFNresponse_reactome_genes	ENSG00000075188
IFNresponse_reactome_genes	ENSG00000136243
IFNresponse_reactome_genes	ENSG00000120253
IFNresponse_reactome_genes	ENSG00000093000
IFNresponse_reactome_genes	ENSG00000138750
IFNresponse_reactome_genes	ENSG00000139496
IFNresponse_reactome_genes	ENSG00000213024
IFNresponse_reactome_genes	ENSG00000125450
IFNresponse_reactome_genes	ENSG00000108559
IFNresponse_reactome_genes	ENSG00000102900
IFNresponse_reactome_genes	ENSG00000110713
IFNresponse_reactome_genes	ENSG00000089127
IFNresponse_reactome_genes	ENSG00000111335
IFNresponse_reactome_genes	ENSG00000111331
IFNresponse_reactome_genes	ENSG00000135114
IFNresponse_reactome_genes	ENSG00000174840
IFNresponse_reactome_genes	ENSG00000033800
IFNresponse_reactome_genes	ENSG00000127445
IFNresponse_reactome_genes	ENSG00000124181
IFNresponse_reactome_genes	ENSG00000140464
IFNresponse_reactome_genes	ENSG00000196313
IFNresponse_reactome_genes	ENSG00000272391
IFNresponse_reactome_genes	ENSG00000138032
IFNresponse_reactome_genes	ENSG00000163932
IFNresponse_reactome_genes	ENSG00000204264
IFNresponse_reactome_genes	ENSG00000169403
IFNresponse_reactome_genes	ENSG00000196396
IFNresponse_reactome_genes	ENSG00000179295
IFNresponse_reactome_genes	ENSG00000175354
IFNresponse_reactome_genes	ENSG00000111679
IFNresponse_reactome_genes	ENSG00000101146
IFNresponse_reactome_genes	ENSG00000153201
IFNresponse_reactome_genes	ENSG00000135828
IFNresponse_reactome_genes	ENSG00000143947
IFNresponse_reactome_genes	ENSG00000134321
IFNresponse_reactome_genes	ENSG00000101347
IFNresponse_reactome_genes	ENSG00000157020
IFNresponse_reactome_genes	ENSG00000085415
IFNresponse_reactome_genes	ENSG00000101665
IFNresponse_reactome_genes	ENSG00000185338
IFNresponse_reactome_genes	ENSG00000184557
IFNresponse_reactome_genes	ENSG00000067066
IFNresponse_reactome_genes	ENSG00000115415
IFNresponse_reactome_genes	ENSG00000170581
IFNresponse_reactome_genes	ENSG00000116030
IFNresponse_reactome_genes	ENSG00000204613
IFNresponse_reactome_genes	ENSG00000106785
IFNresponse_reactome_genes	ENSG00000162931
IFNresponse_reactome_genes	ENSG00000109654
IFNresponse_reactome_genes	ENSG00000132109
IFNresponse_reactome_genes	ENSG00000132274
IFNresponse_reactome_genes	ENSG00000121060
IFNresponse_reactome_genes	ENSG00000234127
IFNresponse_reactome_genes	ENSG00000137699
IFNresponse_reactome_genes	ENSG00000110171
IFNresponse_reactome_genes	ENSG00000204616
IFNresponse_reactome_genes	ENSG00000258659
IFNresponse_reactome_genes	ENSG00000104228
IFNresponse_reactome_genes	ENSG00000112343
IFNresponse_reactome_genes	ENSG00000134253
IFNresponse_reactome_genes	ENSG00000163462
IFNresponse_reactome_genes	ENSG00000150244
IFNresponse_reactome_genes	ENSG00000132256
IFNresponse_reactome_genes	ENSG00000121236
IFNresponse_reactome_genes	ENSG00000116525
IFNresponse_reactome_genes	ENSG00000167333
IFNresponse_reactome_genes	ENSG00000171206
IFNresponse_reactome_genes	ENSG00000105397
IFNresponse_reactome_genes	ENSG00000221983
IFNresponse_reactome_genes	ENSG00000182179
IFNresponse_reactome_genes	ENSG00000170315
IFNresponse_reactome_genes	ENSG00000150991
IFNresponse_reactome_genes	ENSG00000170142
IFNresponse_reactome_genes	ENSG00000156587
IFNresponse_reactome_genes	ENSG00000177889
IFNresponse_reactome_genes	ENSG00000184979
IFNresponse_reactome_genes	ENSG00000161133
IFNresponse_reactome_genes	ENSG00000162692
IFNresponse_reactome_genes	ENSG00000132530
Zhang_Science_genes	ENSG00000142166
Zhang_Science_genes	ENSG00000159110
Zhang_Science_genes	ENSG00000269335
Zhang_Science_genes	ENSG00000126456
Zhang_Science_genes	ENSG00000185507
Zhang_Science_genes	ENSG00000213928
Zhang_Science_genes	ENSG00000115415
Zhang_Science_genes	ENSG00000170581
Zhang_Science_genes	ENSG00000183735
Zhang_Science_genes	ENSG00000127666
Zhang_Science_genes	ENSG00000164342
Zhang_Science_genes	ENSG00000131323
Zhang_Science_genes	ENSG00000110057
innatedb_genes	ENSG00000127837
innatedb_genes	ENSG00000165029
innatedb_genes	ENSG00000160179
innatedb_genes	ENSG00000097007
innatedb_genes	ENSG00000072818
innatedb_genes	ENSG00000130234
innatedb_genes	ENSG00000087085
innatedb_genes	ENSG00000144648
innatedb_genes	ENSG00000137845
innatedb_genes	ENSG00000160710
innatedb_genes	ENSG00000155897
innatedb_genes	ENSG00000123146
innatedb_genes	ENSG00000181092
innatedb_genes	ENSG00000169252
innatedb_genes	ENSG00000204305
innatedb_genes	ENSG00000106546
innatedb_genes	ENSG00000145192
innatedb_genes	ENSG00000111732
innatedb_genes	ENSG00000163568
innatedb_genes	ENSG00000164022
innatedb_genes	ENSG00000110711
innatedb_genes	ENSG00000160224
innatedb_genes	ENSG00000108599
innatedb_genes	ENSG00000106948
innatedb_genes	ENSG00000142208
innatedb_genes	ENSG00000242110
innatedb_genes	ENSG00000159461
innatedb_genes	ENSG00000154188
innatedb_genes	ENSG00000132466
innatedb_genes	ENSG00000177119
innatedb_genes	ENSG00000135046
innatedb_genes	ENSG00000182718
innatedb_genes	ENSG00000196975
innatedb_genes	ENSG00000132842
innatedb_genes	ENSG00000132703
innatedb_genes	ENSG00000118137
innatedb_genes	ENSG00000128383
innatedb_genes	ENSG00000179750
innatedb_genes	ENSG00000128394
innatedb_genes	ENSG00000239713
innatedb_genes	ENSG00000091583
innatedb_genes	ENSG00000165272
innatedb_genes	ENSG00000165527
innatedb_genes	ENSG00000118520
innatedb_genes	ENSG00000075884
innatedb_genes	ENSG00000141480
innatedb_genes	ENSG00000112249
innatedb_genes	ENSG00000115966
innatedb_genes	ENSG00000162772
innatedb_genes	ENSG00000128272
innatedb_genes	ENSG00000145782
innatedb_genes	ENSG00000085978
innatedb_genes	ENSG00000057663
innatedb_genes	ENSG00000198925
innatedb_genes	ENSG00000101200
innatedb_genes	ENSG00000167601
innatedb_genes	ENSG00000163512
innatedb_genes	ENSG00000050820
innatedb_genes	ENSG00000142867
innatedb_genes	ENSG00000171791
innatedb_genes	ENSG00000140379
innatedb_genes	ENSG00000069399
innatedb_genes	ENSG00000168398
innatedb_genes	ENSG00000126581
innatedb_genes	ENSG00000182492
innatedb_genes	ENSG00000015475
innatedb_genes	ENSG00000110330
innatedb_genes	ENSG00000023445
innatedb_genes	ENSG00000089685
innatedb_genes	ENSG00000102010
innatedb_genes	ENSG00000198183
innatedb_genes	ENSG00000130303
innatedb_genes	ENSG00000010671
innatedb_genes	ENSG00000026950
innatedb_genes	ENSG00000186470
innatedb_genes	ENSG00000111801
innatedb_genes	ENSG00000173372
innatedb_genes	ENSG00000173369
innatedb_genes	ENSG00000108561
innatedb_genes	ENSG00000159189
innatedb_genes	ENSG00000082196
innatedb_genes	ENSG00000159403
innatedb_genes	ENSG00000182326
innatedb_genes	ENSG00000166278
innatedb_genes	ENSG00000125730
innatedb_genes	ENSG00000171860
innatedb_genes	ENSG00000244731
innatedb_genes	ENSG00000224389
innatedb_genes	ENSG00000123838
innatedb_genes	ENSG00000123843
innatedb_genes	ENSG00000106804
innatedb_genes	ENSG00000197405
innatedb_genes	ENSG00000134830
innatedb_genes	ENSG00000039537
innatedb_genes	ENSG00000112936
innatedb_genes	ENSG00000157131
innatedb_genes	ENSG00000021852
innatedb_genes	ENSG00000176919
innatedb_genes	ENSG00000113600
innatedb_genes	ENSG00000105298
innatedb_genes	ENSG00000110680
innatedb_genes	ENSG00000136436
